X : 12, Y : 10, G : 905, H : 2000, F : 2905
X : 12, Y : 11, G : 1005, H : 1900, F : 2905
X : 12, Y : 12, G : 1105, H : 1800, F : 2905
X : 12, Y : 7, G : 664, H : 2300, F : 2964
X : 11, Y : 8, G : 664, H : 2300, F : 2964
X : 11, Y : 6, G : 523, H : 2500, F : 3023
X : 10, Y : 7, G : 523, H : 2500, F : 3023
X : 11, Y : 12, G : 1146, H : 1900, F : 3046
X : 11, Y : 9, G : 846, H : 2200, F : 3046
X : 11, Y : 10, G : 946, H : 2100, F : 3046
X : 11, Y : 11, G : 1046, H : 2000, F : 3046
X : 9, Y : 6, G : 382, H : 2700, F : 3082
X : 10, Y : 5, G : 382, H : 2700, F : 3082
X : 10, Y : 8, G : 705, H : 2400, F : 3105
X : 12, Y : 6, G : 705, H : 2400, F : 3105
X : 10, Y : 9, G : 805, H : 2300, F : 3105
X : 9, Y : 4, G : 241, H : 2900, F : 3141
X : 8, Y : 5, G : 241, H : 2900, F : 3141
X : 12, Y : 5, G : 664, H : 2500, F : 3164
X : 9, Y : 8, G : 664, H : 2500, F : 3164
X : 9, Y : 7, G : 564, H : 2600, F : 3164
X : 11, Y : 5, G : 564, H : 2600, F : 3164
X : 10, Y : 10, G : 987, H : 2200, F : 3187
X : 7, Y : 4, G : 100, H : 3100, F : 3200
X : 8, Y : 3, G : 100, H : 3100, F : 3200
X : 10, Y : 4, G : 423, H : 2800, F : 3223
X : 8, Y : 7, G : 523, H : 2700, F : 3223
X : 11, Y : 4, G : 523, H : 2700, F : 3223
X : 8, Y : 6, G : 423, H : 2800, F : 3223
X : 9, Y : 10, G : 946, H : 2300, F : 3246
X : 10, Y : 12, G : 1246, H : 2000, F : 3246
X : 9, Y : 9, G : 846, H : 2400, F : 3246
X : 7, Y : 6, G : 382, H : 2900, F : 3282
X : 10, Y : 3, G : 382, H : 2900, F : 3282
X : 7, Y : 5, G : 282, H : 3000, F : 3282
X : 9, Y : 3, G : 282, H : 3000, F : 3282
X : 8, Y : 9, G : 805, H : 2500, F : 3305
X : 9, Y : 11, G : 1128, H : 2200, F : 3328
X : 6, Y : 4, G : 141, H : 3200, F : 3341
X : 9, Y : 2, G : 241, H : 3100, F : 3341
X : 6, Y : 5, G : 241, H : 3100, F : 3341
X : 8, Y : 2, G : 141, H : 3200, F : 3341
X : 7, Y : 8, G : 664, H : 2700, F : 3364
X : 11, Y : 3, G : 564, H : 2800, F : 3364
X : 12, Y : 4, G : 764, H : 2600, F : 3364
X : 8, Y : 8, G : 764, H : 2600, F : 3364
X : 10, Y : 11, G : 1287, H : 2100, F : 3387
X : 8, Y : 11, G : 1087, H : 2300, F : 3387
X : 7, Y : 2, G : 100, H : 3300, F : 3400
X : 6, Y : 3, G : 100, H : 3300, F : 3400
X : 7, Y : 7, G : 623, H : 2800, F : 3423
X : 6, Y : 7, G : 523, H : 2900, F : 3423
X : 11, Y : 2, G : 523, H : 2900, F : 3423
X : 8, Y : 10, G : 1046, H : 2400, F : 3446
X : 9, Y : 12, G : 1346, H : 2100, F : 3446
X : 7, Y : 10, G : 946, H : 2500, F : 3446
X : 8, Y : 12, G : 1269, H : 2200, F : 3469
X : 5, Y : 5, G : 282, H : 3200, F : 3482
X : 10, Y : 2, G : 482, H : 3000, F : 3482
X : 6, Y : 6, G : 482, H : 3000, F : 3482
X : 5, Y : 6, G : 382, H : 3100, F : 3482
X : 7, Y : 9, G : 905, H : 2600, F : 3505
X : 6, Y : 9, G : 805, H : 2700, F : 3505
X : 7, Y : 12, G : 1228, H : 2300, F : 3528
X : 6, Y : 2, G : 141, H : 3400, F : 3541
X : 5, Y : 4, G : 241, H : 3300, F : 3541
X : 5, Y : 8, G : 664, H : 2900, F : 3564
X : 6, Y : 8, G : 764, H : 2800, F : 3564
X : 6, Y : 11, G : 1087, H : 2500, F : 3587
X : 7, Y : 11, G : 1187, H : 2400, F : 3587
X : 5, Y : 7, G : 623, H : 3000, F : 3623
X : 4, Y : 7, G : 523, H : 3100, F : 3623
X : 4, Y : 6, G : 423, H : 3200, F : 3623
X : 5, Y : 10, G : 946, H : 2700, F : 3646
X : 6, Y : 10, G : 1046, H : 2600, F : 3646
X : 5, Y : 3, G : 282, H : 3400, F : 3682
X : 4, Y : 5, G : 382, H : 3300, F : 3682
X : 4, Y : 9, G : 805, H : 2900, F : 3705
X : 5, Y : 9, G : 905, H : 2800, F : 3705
X : 6, Y : 12, G : 1328, H : 2400, F : 3728
X : 5, Y : 12, G : 1228, H : 2500, F : 3728
X : 6, Y : 1, G : 241, H : 3500, F : 3741
X : 5, Y : 2, G : 241, H : 3500, F : 3741
X : 3, Y : 8, G : 664, H : 3100, F : 3764
X : 4, Y : 8, G : 764, H : 3000, F : 3764
X : 4, Y : 11, G : 1087, H : 2700, F : 3787
X : 5, Y : 11, G : 1187, H : 2600, F : 3787
X : 4, Y : 4, G : 423, H : 3400, F : 3823
X : 3, Y : 7, G : 623, H : 3200, F : 3823
X : 3, Y : 10, G : 946, H : 2900, F : 3846
X : 4, Y : 10, G : 1046, H : 2800, F : 3846
X : 5, Y : 13, G : 1469, H : 2400, F : 3869
X : 4, Y : 13, G : 1369, H : 2500, F : 3869
X : 5, Y : 1, G : 282, H : 3600, F : 3882
X : 7, Y : 0, G : 382, H : 3500, F : 3882
X : 4, Y : 3, G : 382, H : 3500, F : 3882
X : 8, Y : 0, G : 482, H : 3400, F : 3882
X : 9, Y : 0, G : 582, H : 3300, F : 3882
X : 10, Y : 0, G : 682, H : 3200, F : 3882
X : 11, Y : 0, G : 782, H : 3100, F : 3882
X : 12, Y : 0, G : 882, H : 3000, F : 3882
X : 13, Y : 0, G : 982, H : 2900, F : 3882
X : 14, Y : 1, G : 1123, H : 2700, F : 3823
X : 15, Y : 2, G : 1264, H : 2500, F : 3764
X : 16, Y : 3, G : 1405, H : 2300, F : 3705
X : 17, Y : 4, G : 1546, H : 2100, F : 3646
X : 18, Y : 5, G : 1687, H : 1900, F : 3587
X : 19, Y : 6, G : 1828, H : 1700, F : 3528
X : 20, Y : 7, G : 1969, H : 1500, F : 3469
X : 21, Y : 8, G : 2110, H : 1300, F : 3410
X : 22, Y : 9, G : 2251, H : 1100, F : 3351
X : 23, Y : 9, G : 2351, H : 1000, F : 3351
X : 24, Y : 9, G : 2451, H : 900, F : 3351
X : 25, Y : 9, G : 2551, H : 800, F : 3351
X : 26, Y : 9, G : 2651, H : 700, F : 3351
X : 27, Y : 9, G : 2751, H : 600, F : 3351
X : 22, Y : 8, G : 2210, H : 1200, F : 3410
X : 21, Y : 9, G : 2210, H : 1200, F : 3410
X : 21, Y : 7, G : 2069, H : 1400, F : 3469
X : 20, Y : 8, G : 2069, H : 1400, F : 3469
X : 25, Y : 8, G : 2592, H : 900, F : 3492
X : 27, Y : 8, G : 2792, H : 700, F : 3492
X : 26, Y : 8, G : 2692, H : 800, F : 3492
X : 23, Y : 8, G : 2392, H : 1100, F : 3492
X : 21, Y : 10, G : 2392, H : 1100, F : 3492
X : 24, Y : 8, G : 2492, H : 1000, F : 3492
X : 20, Y : 6, G : 1928, H : 1600, F : 3528
X : 19, Y : 7, G : 1928, H : 1600, F : 3528
X : 28, Y : 9, G : 2851, H : 700, F : 3551
X : 20, Y : 10, G : 2351, H : 1200, F : 3551
X : 20, Y : 9, G : 2251, H : 1300, F : 3551
